ALT   N2         CO2        CO          O       HE
    100.    5.623E+10  1.668E+12  8.733E+09  2.425E+10  3.414E+10
    103.    3.652E+10  1.137E+12  5.817E+09  1.425E+10  2.154E+10
    106.    2.371E+10  7.743E+11  3.875E+09  9.047E+09  1.359E+10
    109.    1.540E+10  5.275E+11  2.581E+09  6.700E+09  8.733E+09
    112.    1.000E+10  3.594E+11  1.719E+09  4.962E+09  5.817E+09
    115.    7.305E+09  2.448E+11  1.145E+09  3.675E+09  3.875E+09
    118.    5.337E+09  1.668E+11  8.318E+08  2.721E+09  2.581E+09
    121.    3.899E+09  1.136E+11  6.310E+08  2.015E+09  1.719E+09
    124.    2.848E+09  7.848E+10  4.786E+08  1.492E+09  1.145E+09
    127.    2.081E+09  5.456E+10  3.631E+08  1.105E+09  8.318E+08
    130.    1.520E+09  3.793E+10  2.754E+08  9.249E+08  6.310E+08
    133.    1.110E+09  2.637E+10  2.089E+08  8.227E+08  4.786E+08
    136.    8.733E+08  1.833E+10  1.585E+08  7.318E+08  3.631E+08
    139.    7.128E+08  1.274E+10  1.202E+08  6.510E+08  2.754E+08
    142.    5.817E+08  8.962E+09  9.380E+07  5.790E+08  2.089E+08
    145.    4.748E+08  6.450E+09  7.743E+07  5.151E+08  1.585E+08
    148.    3.875E+08  4.642E+09  6.391E+07  4.582E+08  1.202E+08
    151.    3.162E+08  3.340E+09  5.275E+07  4.075E+08  9.085E+07
    154.    2.581E+08  2.404E+09  4.354E+07  3.625E+08  6.813E+07
    157.    2.106E+08  1.730E+09  3.594E+07  3.225E+08  5.109E+07
    160.    1.719E+08  1.245E+09  2.966E+07  2.868E+08  3.831E+07
    163.    1.403E+08  9.152E+08  2.448E+07  2.551E+08  2.873E+07
    166.    1.145E+08  7.017E+08  2.021E+07  2.270E+08  2.154E+07
    169.    9.441E+07  5.380E+08  1.668E+07  2.019E+08  1.616E+07
    172.    7.943E+07  4.125E+08  1.377E+07  1.796E+08  1.212E+07
    175.    6.683E+07  3.162E+08  1.137E+07  1.597E+08  9.153E+06
    178.    5.623E+07  2.425E+08  9.427E+06  1.421E+08  7.017E+06
    181.    4.732E+07  1.859E+08  7.897E+06  1.264E+08  5.380E+06
    184.    3.981E+07  1.425E+08  6.615E+06  1.124E+08  4.125E+06
    187.    3.350E+07  1.093E+08  5.541E+06  1.000E+08  3.162E+06
    190.    2.818E+07  8.318E+07  4.642E+06  9.097E+07  2.425E+06
    193.    2.371E+07  6.310E+07  3.888E+06  8.276E+07  1.859E+06
    196.    1.995E+07  4.786E+07  3.257E+06  7.529E+07  1.425E+06
    199.    1.679E+07  3.631E+07  2.728E+06  6.849E+07  1.093E+06
    202.    1.413E+07  2.754E+07  2.286E+06  6.231E+07  8.377E+05
    205.    1.189E+07  2.089E+07  1.915E+06  5.668E+07  6.422E+05
    208.    1.000E+07  1.585E+07  1.604E+06  5.156E+07  4.924E+05
    211.    8.483E+06  1.202E+07  1.343E+06  4.691E+07  3.775E+05
    214.    7.197E+06  9.183E+06  1.125E+06  4.267E+07  2.894E+05
    217.    6.105E+06  7.110E+06  9.427E+05  3.882E+07  2.219E+05
    220.    5.180E+06  5.505E+06  7.897E+05  3.531E+07  1.701E+05
    223.    4.394E+06  4.262E+06  6.615E+05  3.213E+07  1.304E+05
    226.    3.728E+06  3.300E+06  5.541E+05  2.923E+07  1.000E+05
    229.    3.162E+06  2.555E+06  4.642E+05  2.659E+07  7.667E+04
    232.    2.683E+06  1.978E+06  3.888E+05  2.419E+07  5.878E+04
    235.    2.276E+06  1.532E+06  3.257E+05  2.200E+07  4.507E+04
    238.    1.931E+06  1.186E+06  2.728E+05  2.002E+07  3.455E+04
    241.    1.638E+06  9.183E+05  2.286E+05  1.821E+07  2.649E+04
    244.    1.390E+06  7.110E+05  1.915E+05  1.656E+07  2.031E+04
    247.    1.179E+06  5.505E+05  1.604E+05  1.507E+07  1.557E+04
    250.    1.000E+06  4.262E+05  1.343E+05  1.371E+07  1.194E+04
    253.    8.483E+05  3.300E+05  1.125E+05  1.247E+07  9.153E+03
    256.    7.197E+05  2.555E+05  9.427E+04  1.135E+07  7.017E+03
    259.    6.105E+05  1.978E+05  7.897E+04  1.032E+07  5.380E+03
    262.    5.180E+05  1.532E+05  6.615E+04  9.389E+06  4.125E+03
    265.    4.394E+05  1.186E+05  5.541E+04  8.541E+06  3.162E+03
    268.    3.728E+05  9.183E+04  4.642E+04  7.770E+06  2.425E+03
    271.    3.162E+05  7.110E+04  3.888E+04  7.068E+06  1.859E+03
    274.    2.683E+05  5.505E+04  3.257E+04  6.430E+06  1.425E+03
    277.    2.276E+05  4.262E+04  2.728E+04  5.850E+06  1.093E+03
    280.    1.931E+05  3.300E+04  2.286E+04  5.321E+06  8.377E+02
    283.    1.638E+05  2.555E+04  1.915E+04  4.841E+06  6.422E+02
    286.    1.390E+05  1.978E+04  1.604E+04  4.404E+06  4.924E+02
    289.    1.179E+05  1.532E+04  1.343E+04  4.006E+06  3.775E+02
    292.    1.000E+05  1.186E+04  1.125E+04  3.645E+06  2.894E+02
    295.    8.483E+04  9.183E+03  9.427E+03  3.316E+06  2.219E+02
    298.    7.197E+04  7.110E+03  7.897E+03  3.016E+06  1.701E+02
    301.    6.105E+04  5.505E+03  6.615E+03  2.744E+06  1.304E+02
    304.    5.180E+04  4.262E+03  5.541E+03  2.496E+06  1.000E+02
    307.    4.394E+04  3.300E+03  4.642E+03  2.271E+06  7.667E+01
    310.    3.728E+04  2.555E+03  3.888E+03  2.066E+06  5.878E+01
    313.    3.162E+04  1.978E+03  3.257E+03  1.879E+06  4.507E+01
    316.    2.683E+04  1.532E+03  2.728E+03  1.710E+06  3.455E+01
    319.    2.276E+04  1.186E+03  2.286E+03  1.555E+06  2.649E+01
    322.    1.931E+04  9.183E+02  1.915E+03  1.415E+06  2.031E+01
    325.    1.638E+04  7.110E+02  1.604E+03  1.287E+06  1.557E+01
    328.    1.390E+04  5.505E+02  1.343E+03  1.171E+06  1.194E+01
    331.    1.179E+04  4.262E+02  1.125E+03  1.065E+06  9.153E+00
    334.    1.000E+04  3.300E+02  9.427E+02  9.690E+05  7.017E+00
