     Alt            CO2               CO                O                N2                H2               H              Ar             He                  H2O
   100.000000      0.160564467       298.693085       5.44990238E-04  0.291979283       935.205994       1.57542090E-04   7.47480255E-04   1.36252248E-03   2.43081668E-04
   103.000000      0.272933662       274.538940       7.99512025E-04  0.495696068       859.579590       2.31162820E-04   1.09694863E-03   1.99884549E-03   3.57551151E-04
   106.000000      0.429105312       215.064056       1.17402396E-03  0.778226435       673.364075       3.39473248E-04   1.61101564E-03   2.93515110E-03   5.26015647E-04
   109.000000      0.577738225       148.467041       1.72331405E-03   1.04631889       464.849304       4.98251757E-04   2.36431090E-03   4.30841139E-03   7.72634579E-04
   112.000000      0.775581360       103.264000       2.52935314E-03   1.40019107       323.318878       7.31216394E-04   3.46940616E-03   6.32355642E-03   1.13464857E-03
   115.000000       1.03772831       79.5498352       3.71342944E-03   1.86394107       249.070007       1.07339851E-03   5.09228744E-03   9.28384345E-03   1.66203873E-03
   118.000000       1.38412488       67.3902969       5.44991205E-03   2.46868372       210.998566       1.57514552E-03   7.47141195E-03   1.36251990E-02   2.43214355E-03
   121.000000       1.83691609       59.7829475       8.00213963E-03   3.24476409       187.180008       2.31247698E-03   1.09665664E-02   2.00059880E-02   3.55892535E-03
   124.000000       2.42368674       54.9991226       1.15830936E-02   4.22720337       172.201889       3.34689603E-03   1.58683918E-02   2.89586652E-02   5.13600884E-03
   127.000000       3.18245244       53.3801117       1.66612789E-02   5.46961737       167.132767       4.81364224E-03   2.28161979E-02   4.16545160E-02   7.36610079E-03
   130.000000       3.73965716       54.3818893       2.39661857E-02   6.37504530       170.269333       6.92131510E-03   3.27884518E-02   5.99173009E-02   1.05450246E-02
   133.000000       4.17910147       57.9274139       3.44723314E-02   7.10532665       181.370331       9.94878542E-03   4.70931157E-02   8.61833394E-02   1.50691904E-02
   136.000000       4.67444277       62.3467941       4.95924726E-02   7.92964602       195.207382       1.43003017E-02   6.76222816E-02  0.123984925       2.14528069E-02
   139.000000       5.23717737       68.1576538       7.13517740E-02   8.87156200       213.401169       2.05523446E-02   9.70610008E-02  0.178385392       3.04353330E-02
   142.000000       5.88684559       76.3973312      0.101429671       9.97245502       239.199539       2.91776471E-02  0.137586579      0.253583431       4.25805077E-02
   145.000000       6.62868214       87.0089493      0.140930876       11.2403345       272.424408       4.04805429E-02  0.190569058      0.352340817       5.81639521E-02
   148.000000       7.46750259       99.4184036      0.195819557       12.6773415       311.278351       5.61435968E-02  0.263772845      0.489568979       7.92286992E-02
   151.000000       8.41173744       113.384888      0.272150666       14.2944613       355.007324       7.78522417E-02  0.364859998      0.680405796      0.107594304    
   154.000000       9.47616386       129.673218      0.378107637       16.1217136       406.005981      0.107861355      0.503983259      0.945310831      0.145520180    
   157.000000       10.6741076       148.318573      0.525408328       18.1802387       464.384491      0.149366215      0.695363581       1.31357956      0.196002185    
   160.000000       12.0304785       170.037354      0.730072498       20.5153141       532.385742      0.206672966      0.957900763       1.82526207      0.262710780    
   163.000000       13.5536070       194.597702      0.993143678       23.1379337       609.284058      0.279843062       1.29085052       2.48296213      0.344703287    
   166.000000       15.2645817       222.880310       1.29530466       26.0883751       697.836731      0.363426030       1.66922009       3.23837519      0.436671823    
   169.000000       17.1933517       254.640015       1.68941081       29.4126263       797.276123      0.471671879       2.15580034       4.22364759      0.551017821    
